,used,exhausted,rounds
340,1.0,1.0,[0]
1828,1.0,1.0,[0]
2879,1.0,1.0,[0]
432,1.0,1.0,[0]
3481,1.0,1.0,[0]
1408,1.0,1.0,[0]
3022,1.0,1.0,[0]
467,1.0,1.0,[0]
1271,1.0,1.0,[0]
1021,1.0,1.0,[0]
2044,1.0,1.0,[0]
936,1.0,1.0,[0]
621,1.0,1.0,[0]
3228,1.0,1.0,[0]
1386,1.0,1.0,[0]
339,1.0,1.0,[0]
804,1.0,1.0,[0]
1859,1.0,1.0,[0]
2677,1.0,1.0,[0]
2754,1.0,1.0,[0]
3681,1.0,1.0,[0]
368,1.0,1.0,[0]
3028,1.0,1.0,[0]
1798,1.0,1.0,[0]
1738,1.0,1.0,[0]
1050,1.0,1.0,[0]
2213,1.0,1.0,[0]
1211,1.0,1.0,[0]
1921,1.0,1.0,[0]
3227,1.0,1.0,[0]
781,1.0,1.0,[0]
2862,1.0,1.0,[0]
3374,1.0,1.0,[0]
1626,1.0,1.0,[0]
3412,1.0,1.0,[0]
28,1.0,1.0,[0]
3645,1.0,1.0,[0]
724,1.0,1.0,[0]
3351,1.0,1.0,[0]
2816,1.0,1.0,[0]
3690,1.0,1.0,[0]
669,1.0,1.0,[0]
3350,1.0,1.0,[0]
3124,1.0,1.0,[0]
2561,1.0,1.0,[0]
239,1.0,1.0,[0]
2170,1.0,1.0,[0]
3402,1.0,1.0,[0]
70,1.0,1.0,[0]
3616,1.0,1.0,[0]
1373,1.0,1.0,[0]
2389,1.0,1.0,[0]
1227,1.0,1.0,[0]
2377,1.0,1.0,[0]
3709,1.0,1.0,[0]
2663,1.0,1.0,[0]
3387,1.0,1.0,[0]
3107,1.0,1.0,[0]
1977,1.0,1.0,[0]
2334,1.0,1.0,[0]
3032,1.0,1.0,[0]
2771,1.0,1.0,[0]
741,1.0,1.0,[0]
1541,1.0,1.0,[0]
164,1.0,1.0,[0]
3747,1.0,1.0,[0]
1126,1.0,1.0,[0]
377,1.0,1.0,[0]
2048,1.0,1.0,[0]
1253,1.0,1.0,[0]
1441,1.0,1.0,[0]
1274,1.0,1.0,[0]
2333,1.0,1.0,[0]
2315,1.0,1.0,[0]
966,1.0,1.0,[0]
1495,1.0,1.0,[0]
3064,1.0,1.0,[0]
3479,1.0,1.0,[0]
2548,1.0,1.0,[0]
3388,1.0,1.0,[0]
1322,1.0,1.0,[0]
2180,1.0,1.0,[0]
2939,1.0,1.0,[0]
3435,1.0,1.0,[0]
161,1.0,1.0,[0]
199,1.0,1.0,[0]
2347,1.0,1.0,[0]
2683,1.0,1.0,[0]
2111,1.0,1.0,[0]
1131,1.0,1.0,[0]
544,1.0,1.0,[0]
2686,1.0,1.0,[0]
1330,1.0,1.0,[0]
832,1.0,1.0,[0]
1074,1.0,1.0,[0]
3127,1.0,1.0,[0]
3308,1.0,1.0,[0]
924,1.0,1.0,[0]
2325,1.0,1.0,[0]
3521,1.0,1.0,[0]
748,1.0,1.0,[0]
3522,1.0,1.0,[0]
270,1.0,1.0,[0]
1468,1.0,1.0,[0]
1930,1.0,1.0,[0]
2105,1.0,1.0,[0]
3586,1.0,1.0,[0]
1166,1.0,1.0,[0]
210,1.0,1.0,[0]
2045,1.0,1.0,[0]
2545,1.0,1.0,[0]
482,1.0,1.0,[0]
3525,1.0,1.0,[0]
2251,1.0,1.0,[0]
3444,1.0,1.0,[0]
3724,1.0,1.0,[0]
3179,1.0,1.0,[0]
47,1.0,1.0,[0]
2664,1.0,1.0,[0]
3269,1.0,1.0,[0]
933,1.0,1.0,[0]
2312,1.0,1.0,[0]
2115,1.0,1.0,[0]
1234,1.0,1.0,[0]
2400,1.0,1.0,[0]
3051,1.0,1.0,[0]
3482,1.0,1.0,[0]
975,1.0,1.0,[0]
2992,1.0,1.0,[0]
634,1.0,1.0,[0]
2089,1.0,1.0,[0]
3061,1.0,1.0,[0]
3417,1.0,1.0,[0]
1831,1.0,1.0,[0]
1724,1.0,1.0,[0]
1063,1.0,1.0,[0]
3007,1.0,1.0,[0]
875,1.0,1.0,[0]
3243,1.0,1.0,[0]
6,1.0,1.0,[0]
289,1.0,1.0,[0]
1575,1.0,1.0,[0]
2758,1.0,1.0,[0]
3416,1.0,1.0,[0]
2185,1.0,1.0,[0]
1587,1.0,1.0,[0]
851,1.0,1.0,[0]
1821,1.0,1.0,[0]
3056,1.0,1.0,[0]
2853,1.0,1.0,[0]
2629,1.0,1.0,[0]
1857,1.0,1.0,[0]
1545,1.0,1.0,[0]
1789,1.0,1.0,[0]
2239,1.0,1.0,[0]
1950,1.0,1.0,[0]
3082,1.0,1.0,[0]
3530,1.0,1.0,[0]
3499,1.0,1.0,[0]
2835,1.0,1.0,[0]
1195,1.0,1.0,[0]
835,1.0,1.0,[0]
2266,1.0,1.0,[0]
956,1.0,1.0,[0]
3469,1.0,1.0,[0]
2288,1.0,1.0,[0]
115,1.0,1.0,[0]
3048,1.0,1.0,[0]
1154,1.0,1.0,[0]
2172,1.0,1.0,[0]
2987,1.0,1.0,[0]
3632,1.0,1.0,[0]
1877,1.0,1.0,[0]
2468,1.0,1.0,[0]
1037,1.0,1.0,[0]
2491,1.0,1.0,[0]
2131,1.0,1.0,[0]
706,1.0,1.0,[0]
939,1.0,1.0,[0]
1865,1.0,1.0,[0]
2113,1.0,1.0,[0]
362,1.0,1.0,[0]
3171,1.0,1.0,[0]
2100,1.0,1.0,[0]
537,1.0,1.0,[0]
1578,1.0,1.0,[0]
2619,1.0,1.0,[0]
3230,1.0,1.0,[127]
814,0.0,0.0,[]
2706,0.0,0.0,[]
38,2.0,1.0,"[45, 48]"
2198,1.0,1.0,[108]
3618,0.0,0.0,[]
1244,2.0,1.0,"[151, 154]"
2098,0.0,0.0,[]
2246,1.0,1.0,[8]
2271,1.0,0.0,[77]
1409,0.0,0.0,[]
1321,1.0,1.0,[96]
3722,1.0,1.0,[42]
1483,0.0,0.0,[]
1327,5.0,1.0,"[41, 48, 54, 58, 60]"
326,1.0,1.0,[8]
2931,0.0,0.0,[]
793,0.0,0.0,[]
2841,1.0,1.0,[106]
666,1.0,1.0,[62]
2738,0.0,0.0,[]
2734,2.0,1.0,"[108, 109]"
2224,0.0,0.0,[]
1340,0.0,0.0,[]
3023,2.0,1.0,"[15, 19]"
425,0.0,0.0,[]
1851,0.0,0.0,[]
1645,2.0,1.0,"[34, 35]"
2205,0.0,0.0,[]
1560,0.0,0.0,[]
413,1.0,0.0,[91]
1197,0.0,0.0,[]
3735,0.0,0.0,[]
1257,0.0,0.0,[]
1105,0.0,0.0,[]
240,3.0,1.0,"[46, 63, 65]"
2357,0.0,0.0,[]
1295,0.0,0.0,[]
928,0.0,0.0,[]
3009,3.0,1.0,"[150, 151, 152]"
2480,0.0,0.0,[]
1651,0.0,0.0,[]
2489,4.0,1.0,"[132, 133, 136, 137]"
3237,1.0,1.0,[117]
3561,2.0,1.0,"[83, 84]"
2672,1.0,1.0,[28]
2774,1.0,1.0,[113]
636,2.0,1.0,"[100, 118]"
3264,0.0,0.0,[]
587,0.0,0.0,[]
852,1.0,1.0,[48]
1235,0.0,0.0,[]
2831,0.0,0.0,[]
2531,0.0,0.0,[]
1107,1.0,1.0,[38]
1135,1.0,1.0,[76]
2606,0.0,0.0,[]
102,0.0,0.0,[]
1850,0.0,0.0,[]
1425,0.0,0.0,[]
1970,0.0,0.0,[]
2894,0.0,0.0,[]
1779,0.0,0.0,[]
2141,2.0,1.0,"[81, 89]"
859,0.0,0.0,[]
2996,1.0,1.0,[150]
837,1.0,1.0,[100]
1740,0.0,0.0,[]
2241,0.0,0.0,[]
1549,0.0,0.0,[]
507,3.0,1.0,"[77, 78, 137]"
2908,1.0,1.0,[50]
3555,1.0,1.0,[53]
912,1.0,1.0,[120]
2602,2.0,1.0,"[109, 111]"
2612,0.0,0.0,[]
1586,0.0,0.0,[]
388,2.0,1.0,"[103, 106]"
1450,1.0,0.0,[131]
946,0.0,0.0,[]
2148,2.0,1.0,"[62, 64]"
1325,2.0,1.0,"[31, 159]"
2431,5.0,1.0,"[117, 126, 128, 133, 137]"
93,1.0,1.0,[94]
3343,0.0,0.0,[]
3062,0.0,0.0,[]
1328,1.0,1.0,[2]
1695,1.0,1.0,[25]
3529,0.0,0.0,[]
1652,1.0,1.0,[96]
1377,0.0,0.0,[]
1208,1.0,1.0,[100]
570,1.0,1.0,[114]
2804,0.0,0.0,[]
354,0.0,0.0,[]
3712,1.0,1.0,[54]
2666,2.0,1.0,"[65, 73]"
3422,0.0,0.0,[]
579,1.0,1.0,[43]
2433,2.0,1.0,"[86, 87]"
2394,0.0,0.0,[]
3315,1.0,1.0,[120]
1285,0.0,0.0,[]
1553,0.0,0.0,[]
2392,4.0,1.0,"[90, 91, 92, 93]"
120,1.0,0.0,[161]
1202,0.0,0.0,[]
2158,0.0,0.0,[]
39,1.0,1.0,[2]
2030,0.0,0.0,[]
3355,0.0,0.0,[]
619,0.0,0.0,[]
2941,1.0,1.0,[151]
1862,0.0,0.0,[]
1840,0.0,0.0,[]
3654,2.0,1.0,"[130, 131]"
3491,1.0,1.0,[84]
1613,1.0,1.0,[7]
234,0.0,0.0,[]
1581,0.0,0.0,[]
3210,0.0,0.0,[]
1822,0.0,0.0,[]
1358,0.0,0.0,[]
292,2.0,0.0,"[159, 160]"
1435,2.0,1.0,"[2, 23]"
2932,1.0,1.0,[105]
358,1.0,0.0,[70]
2765,0.0,0.0,[]
2850,0.0,0.0,[]
2585,0.0,0.0,[]
2091,0.0,0.0,[]
443,0.0,0.0,[]
2586,0.0,0.0,[]
2679,1.0,1.0,[151]
2859,5.0,1.0,"[89, 91, 94, 95, 97]"
2109,0.0,0.0,[]
3337,0.0,0.0,[]
1823,1.0,1.0,[76]
914,5.0,1.0,"[82, 90, 93, 95, 97]"
2646,2.0,1.0,"[158, 161]"
135,0.0,0.0,[]
1548,0.0,0.0,[]
3244,0.0,0.0,[]
97,1.0,1.0,[51]
3231,0.0,0.0,[]
3371,1.0,1.0,[29]
1778,2.0,0.0,"[102, 154]"
3600,3.0,1.0,"[155, 157, 158]"
19,1.0,1.0,[141]
1461,1.0,1.0,[137]
2138,0.0,0.0,[]
232,2.0,1.0,"[92, 99]"
3249,1.0,1.0,[30]
957,4.0,1.0,"[51, 123, 125, 128]"
2306,0.0,0.0,[]
506,1.0,1.0,[17]
558,1.0,1.0,[48]
808,0.0,0.0,[]
1059,0.0,0.0,[]
1360,0.0,0.0,[]
3206,0.0,0.0,[]
2171,11.0,1.0,"[24, 34, 45, 47, 48, 50, 51, 52, 53, 54, 55]"
1033,0.0,0.0,[]
1326,0.0,0.0,[]
1029,2.0,1.0,"[129, 145]"
3381,0.0,0.0,[]
3674,0.0,0.0,[]
947,3.0,1.0,"[94, 95, 96]"
2318,0.0,0.0,[]
2004,0.0,0.0,[]
64,1.0,1.0,[13]
927,0.0,0.0,[]
2914,1.0,0.0,[127]
2609,1.0,1.0,[29]
3429,1.0,1.0,[49]
2928,2.0,1.0,"[128, 129]"
3691,2.0,1.0,"[15, 16]"
1788,0.0,0.0,[]
1924,2.0,1.0,"[37, 84]"
2899,0.0,0.0,[]
468,3.0,1.0,"[2, 4, 5]"
990,1.0,1.0,[65]
2422,2.0,1.0,"[129, 148]"
2744,4.0,1.0,"[42, 103, 104, 105]"
1687,0.0,0.0,[]
