,used,exhausted,rounds
1180,4.0,1.0,"[50, 54, 59, 60]"
391,1.0,1.0,[125]
1630,1.0,1.0,[110]
2107,0.0,0.0,[]
2922,3.0,1.0,"[129, 130, 131]"
2324,2.0,1.0,"[140, 141]"
1119,0.0,0.0,[]
2390,0.0,0.0,[]
559,0.0,0.0,[]
3455,0.0,0.0,[]
2454,1.0,1.0,[154]
2285,0.0,0.0,[]
2286,1.0,1.0,[117]
3203,0.0,0.0,[]
1619,4.0,1.0,"[159, 160, 161, 162]"
1707,0.0,0.0,[]
1796,1.0,1.0,[110]
1353,1.0,1.0,[6]
3562,1.0,1.0,[20]
3730,1.0,1.0,[65]
2979,0.0,0.0,[]
3069,1.0,1.0,[65]
433,1.0,1.0,[99]
2426,0.0,0.0,[]
1706,0.0,0.0,[]
2211,0.0,0.0,[]
2353,3.0,1.0,"[7, 10, 11]"
2513,0.0,0.0,[]
421,0.0,0.0,[]
2112,1.0,1.0,[120]
3514,2.0,1.0,"[27, 36]"
633,5.0,1.0,"[144, 145, 150, 153, 154]"
1394,0.0,0.0,[]
1876,0.0,0.0,[]
3172,0.0,0.0,[]
3550,0.0,0.0,[]
3398,0.0,0.0,[]
1968,0.0,0.0,[]
784,0.0,0.0,[]
3142,1.0,1.0,[85]
779,0.0,0.0,[]
2959,1.0,1.0,[2]
192,1.0,1.0,[77]
2838,0.0,0.0,[]
470,1.0,1.0,[10]
2530,0.0,0.0,[]
1812,1.0,1.0,[123]
3411,4.0,1.0,"[74, 89, 90, 91]"
2253,0.0,0.0,[]
1451,0.0,0.0,[]
528,0.0,0.0,[]
708,0.0,0.0,[]
2713,0.0,0.0,[]
11,1.0,1.0,[42]
3187,0.0,0.0,[]
1974,0.0,0.0,[]
2634,0.0,0.0,[]
3575,0.0,0.0,[]
2785,7.0,1.0,"[69, 70, 71, 73, 74, 75, 76]"
1496,0.0,0.0,[]
1128,0.0,0.0,[]
2737,0.0,0.0,[]
417,1.0,1.0,[131]
1252,0.0,0.0,[]
2926,2.0,1.0,"[138, 140]"
1056,2.0,0.0,"[141, 149]"
3294,3.0,1.0,"[115, 120, 121]"
1401,0.0,0.0,[]
1948,1.0,1.0,[152]
1072,0.0,0.0,[]
2878,0.0,0.0,[]
878,0.0,0.0,[]
370,0.0,0.0,[]
1437,1.0,1.0,[134]
1759,0.0,0.0,[]
2354,2.0,1.0,"[7, 83]"
1829,0.0,0.0,[]
2071,1.0,0.0,[123]
2147,1.0,1.0,[115]
2370,1.0,1.0,[61]
1677,1.0,1.0,[151]
2351,0.0,0.0,[]
622,0.0,0.0,[]
2463,1.0,1.0,[100]
1149,1.0,1.0,[28]
229,2.0,1.0,"[119, 125]"
389,4.0,1.0,"[37, 78, 86, 112]"
571,0.0,0.0,[]
2429,0.0,0.0,[]
2957,0.0,0.0,[]
1376,0.0,0.0,[]
2430,0.0,0.0,[]
357,1.0,1.0,[127]
392,0.0,0.0,[]
2066,0.0,0.0,[]
2317,2.0,1.0,"[80, 84]"
351,0.0,0.0,[]
1501,0.0,0.0,[]
1255,0.0,0.0,[]
2506,0.0,0.0,[]
626,1.0,1.0,[97]
3480,2.0,1.0,"[138, 139]"
725,0.0,0.0,[]
2507,0.0,0.0,[]
973,0.0,0.0,[]
2236,0.0,0.0,[]
1320,4.0,1.0,"[103, 112, 113, 114]"
2472,0.0,0.0,[]
3078,2.0,1.0,"[74, 77]"
3483,0.0,0.0,[]
1458,1.0,1.0,[149]
2655,0.0,0.0,[]
3627,0.0,0.0,[]
3506,1.0,1.0,[66]
1040,0.0,0.0,[]
1459,2.0,0.0,"[40, 128]"
2906,0.0,0.0,[]
3385,0.0,0.0,[]
58,6.0,1.0,"[51, 53, 55, 56, 57, 58]"
3489,2.0,1.0,"[59, 60]"
3364,1.0,1.0,[114]
3325,0.0,0.0,[]
1807,1.0,1.0,[105]
847,1.0,0.0,[60]
2689,0.0,0.0,[]
1152,0.0,0.0,[]
3733,2.0,1.0,"[79, 83]"
3324,0.0,0.0,[]
592,0.0,0.0,[]
1242,1.0,1.0,[16]
2182,0.0,0.0,[]
2282,2.0,1.0,"[4, 10]"
765,3.0,1.0,"[141, 142, 149]"
81,0.0,0.0,[]
489,0.0,0.0,[]
1728,0.0,0.0,[]
2128,1.0,1.0,[122]
2151,1.0,1.0,[19]
2009,1.0,1.0,[63]
2199,1.0,1.0,[100]
2584,0.0,0.0,[]
3290,1.0,1.0,[113]
3043,2.0,1.0,"[102, 103]"
3257,0.0,0.0,[]
2041,0.0,0.0,[]
288,0.0,0.0,[]
465,0.0,0.0,[]
623,0.0,0.0,[]
2505,0.0,0.0,[]
3701,0.0,0.0,[]
3073,0.0,0.0,[]
2743,5.0,1.0,"[122, 130, 131, 132, 133]"
3642,0.0,0.0,[]
3256,0.0,0.0,[]
722,0.0,0.0,[]
2815,0.0,0.0,[]
1532,1.0,1.0,[141]
29,0.0,0.0,[]
3253,1.0,1.0,[120]
1650,0.0,0.0,[]
5,0.0,0.0,[]
1988,0.0,0.0,[]
1757,1.0,0.0,[94]
612,2.0,1.0,"[10, 11]"
1889,2.0,1.0,"[21, 33]"
1115,0.0,0.0,[]
3072,0.0,0.0,[]
1205,1.0,1.0,[45]
216,1.0,1.0,[33]
2290,2.0,1.0,"[26, 64]"
2680,0.0,0.0,[]
3685,0.0,0.0,[]
1712,0.0,0.0,[]
2845,0.0,0.0,[]
857,2.0,1.0,"[40, 118]"
3403,1.0,1.0,[30]
3162,0.0,0.0,[]
201,1.0,1.0,[71]
462,1.0,0.0,[163]
2342,0.0,0.0,[]
547,4.0,1.0,"[12, 22, 25, 29]"
721,2.0,1.0,"[86, 118]"
3664,0.0,0.0,[]
1002,0.0,0.0,[]
1221,0.0,0.0,[]
1099,0.0,0.0,[]
57,0.0,0.0,[]
2438,1.0,1.0,[30]
870,1.0,1.0,[156]
3450,0.0,0.0,[]
1997,1.0,0.0,[152]
2484,2.0,1.0,"[88, 89]"
2272,2.0,1.0,"[12, 13]"
3040,4.0,1.0,"[60, 74, 75, 76]"
311,1.0,1.0,[93]
3656,0.0,0.0,[]
1898,1.0,1.0,[74]
1269,0.0,0.0,[]
2747,3.0,1.0,"[158, 159, 160]"
1094,0.0,0.0,[]
3647,0.0,0.0,[]
1232,0.0,0.0,[]
2830,0.0,0.0,[]
3665,3.0,1.0,"[67, 69, 70]"
643,1.0,1.0,[54]
178,2.0,0.0,"[159, 160]"
758,2.0,1.0,"[43, 67]"
2268,1.0,1.0,[135]
1975,0.0,0.0,[]
3349,1.0,1.0,[109]
3496,0.0,0.0,[]
2326,1.0,1.0,[38]
3236,0.0,0.0,[]
1920,1.0,1.0,[60]
1911,0.0,0.0,[]
1971,2.0,1.0,"[33, 41]"
3103,0.0,0.0,[]
1842,6.0,1.0,"[59, 60, 61, 62, 63, 64]"
2385,0.0,0.0,[]
1085,0.0,0.0,[]
1671,0.0,0.0,[]
278,2.0,0.0,"[136, 148]"
2269,0.0,0.0,[]
3414,0.0,0.0,[]
3683,0.0,0.0,[]
2167,0.0,0.0,[]
1685,0.0,0.0,[]
745,0.0,0.0,[]
2145,6.0,1.0,"[157, 158, 159, 160, 161, 162]"
383,0.0,0.0,[]
1569,0.0,0.0,[]
2220,0.0,0.0,[]
89,1.0,1.0,[1]
2703,0.0,0.0,[]
1304,1.0,0.0,[143]
1354,1.0,1.0,[3]
1403,0.0,0.0,[]
3526,3.0,1.0,"[81, 84, 85]"
1680,2.0,1.0,"[118, 149]"
2348,2.0,1.0,"[38, 76]"
672,2.0,1.0,"[27, 29]"
2783,0.0,0.0,[]
1482,1.0,1.0,[111]
892,0.0,0.0,[]
373,0.0,0.0,[]
1745,0.0,0.0,[]
1947,0.0,0.0,[]
3074,1.0,1.0,[143]
3670,0.0,0.0,[]
1537,0.0,0.0,[]
3454,3.0,1.0,"[80, 81, 82]"
953,0.0,0.0,[]
2884,1.0,1.0,[158]
2303,0.0,0.0,[]
680,1.0,1.0,[5]
145,0.0,0.0,[]
2717,0.0,0.0,[]
2782,0.0,0.0,[]
1385,0.0,0.0,[]
2802,0.0,0.0,[]
2015,2.0,1.0,"[104, 118]"
2330,0.0,0.0,[]
2968,1.0,0.0,[78]
797,1.0,1.0,[149]
3014,0.0,0.0,[]
1881,0.0,0.0,[]
1885,3.0,1.0,"[10, 12, 13]"
2229,0.0,0.0,[]
2597,0.0,0.0,[]
2450,1.0,0.0,[62]
2600,1.0,1.0,[116]
693,2.0,0.0,"[84, 99]"
429,1.0,1.0,[4]
811,0.0,0.0,[]
3697,0.0,0.0,[]
2520,0.0,0.0,[]
1452,0.0,0.0,[]
177,2.0,1.0,"[136, 147]"
3169,0.0,0.0,[]
2010,0.0,0.0,[]
80,1.0,1.0,[92]
1511,3.0,1.0,"[82, 114, 148]"
90,0.0,0.0,[]
2950,0.0,0.0,[]
2134,2.0,0.0,"[71, 137]"
535,0.0,0.0,[]
2078,0.0,0.0,[]
597,4.0,1.0,"[41, 86, 114, 116]"
3707,0.0,0.0,[]
2299,0.0,0.0,[]
1160,1.0,1.0,[2]
2485,5.0,1.0,"[112, 120, 121, 124, 125]"
1653,1.0,0.0,[54]
3688,2.0,1.0,"[43, 44]"
1607,1.0,0.0,[63]
1540,1.0,0.0,[161]
430,0.0,0.0,[]
310,3.0,1.0,"[28, 59, 63]"
583,1.0,1.0,[35]
267,0.0,0.0,[]
1191,1.0,1.0,[4]
1448,0.0,0.0,[]
488,0.0,0.0,[]
1312,1.0,0.0,[145]
1826,0.0,0.0,[]
1258,0.0,0.0,[]
1504,1.0,1.0,[117]
2864,0.0,0.0,[]
259,0.0,0.0,[]
522,0.0,0.0,[]
1407,1.0,1.0,[27]
3512,2.0,1.0,"[18, 19]"
3279,5.0,1.0,"[44, 61, 67, 69, 75]"
523,0.0,0.0,[]
1792,1.0,1.0,[32]
2292,0.0,0.0,[]
3497,0.0,0.0,[]
2557,1.0,1.0,[159]
1011,3.0,1.0,"[28, 115, 146]"
2681,0.0,0.0,[]
1380,0.0,0.0,[]
2644,0.0,0.0,[]
2725,0.0,0.0,[]
3375,0.0,0.0,[]
1957,1.0,1.0,[26]
3661,3.0,1.0,"[17, 21, 23]"
603,0.0,0.0,[]
1346,0.0,0.0,[]
539,1.0,1.0,[126]
3208,0.0,0.0,[]
1054,1.0,1.0,[104]
1367,2.0,1.0,"[38, 65]"
2350,1.0,0.0,[163]
1830,4.0,1.0,"[89, 90, 91, 92]"
3689,0.0,0.0,[]
140,0.0,0.0,[]
3050,1.0,1.0,[33]
2001,0.0,0.0,[]
222,1.0,1.0,[44]
2678,0.0,0.0,[]
3200,0.0,0.0,[]
1338,1.0,1.0,[41]
3118,0.0,0.0,[]
1667,1.0,1.0,[114]
1124,1.0,1.0,[148]
716,1.0,1.0,[142]
2875,1.0,1.0,[79]
792,1.0,0.0,[107]
2414,0.0,0.0,[]
307,1.0,1.0,[12]
256,0.0,0.0,[]
2788,0.0,0.0,[]
843,2.0,1.0,"[2, 9]"
1068,0.0,0.0,[]
937,1.0,1.0,[2]
342,0.0,0.0,[]
1156,1.0,1.0,[76]
2749,0.0,0.0,[]
963,1.0,1.0,[84]
2710,0.0,0.0,[]
1309,1.0,1.0,[136]
1481,1.0,1.0,[31]
3609,0.0,0.0,[]
2866,0.0,0.0,[]
1416,1.0,1.0,[155]
450,0.0,0.0,[]
1583,2.0,1.0,"[98, 101]"
1113,1.0,1.0,[2]
662,2.0,1.0,"[90, 93]"
2746,1.0,1.0,[56]
3223,1.0,1.0,[88]
333,2.0,1.0,"[64, 70]"
3552,0.0,0.0,[]
2594,0.0,0.0,[]
1251,1.0,1.0,[45]
761,5.0,1.0,"[138, 145, 150, 157, 158]"
3446,0.0,0.0,[]
1781,0.0,0.0,[]
2402,2.0,1.0,"[106, 117]"
3464,0.0,0.0,[]
3202,1.0,1.0,[74]
616,1.0,1.0,[57]
881,2.0,1.0,"[120, 132]"
136,1.0,1.0,[101]
658,2.0,1.0,"[51, 79]"
3246,2.0,0.0,"[162, 163]"
3120,0.0,0.0,[]
1463,0.0,0.0,[]
406,2.0,1.0,"[12, 13]"
1711,0.0,0.0,[]
1129,0.0,0.0,[]
897,1.0,1.0,[86]
834,1.0,0.0,[92]
2338,0.0,0.0,[]
1267,2.0,1.0,"[57, 70]"
235,1.0,1.0,[95]
2580,0.0,0.0,[]
501,2.0,1.0,"[99, 106]"
2057,0.0,0.0,[]
703,1.0,1.0,[47]
2340,0.0,0.0,[]
2014,1.0,1.0,[31]
3437,0.0,0.0,[]
1602,1.0,0.0,[19]
3449,0.0,0.0,[]
752,1.0,0.0,[150]
3331,0.0,0.0,[]
2007,1.0,0.0,[105]
2076,0.0,0.0,[]
16,0.0,0.0,[]
3366,0.0,0.0,[]
2553,0.0,0.0,[]
2,2.0,1.0,"[55, 56]"
1684,0.0,0.0,[]
3751,0.0,0.0,[]
2415,0.0,0.0,[]
1457,1.0,0.0,[142]
1431,3.0,1.0,"[23, 55, 103]"
1381,0.0,0.0,[]
777,2.0,1.0,"[72, 88]"
679,0.0,0.0,[]
2104,0.0,0.0,[]
1614,1.0,1.0,[143]
527,0.0,0.0,[]
2424,0.0,0.0,[]
2008,0.0,0.0,[]
2645,2.0,1.0,"[50, 64]"
759,1.0,1.0,[14]
552,1.0,1.0,[3]
2260,0.0,0.0,[]
323,2.0,1.0,"[20, 22]"
1872,0.0,0.0,[]
806,1.0,1.0,[108]
3421,3.0,1.0,"[107, 108, 109]"
2227,0.0,0.0,[]
214,0.0,0.0,[]
68,1.0,1.0,[77]
2022,1.0,1.0,[142]
1598,2.0,1.0,"[46, 62]"
2258,2.0,1.0,"[13, 84]"
204,1.0,1.0,[103]
555,4.0,1.0,"[111, 121, 133, 146]"
445,4.0,1.0,"[16, 20, 21, 22]"
3528,0.0,0.0,[]
2512,0.0,0.0,[]
1186,1.0,1.0,[138]
2961,3.0,1.0,"[158, 159, 160]"
119,1.0,1.0,[56]
2181,0.0,0.0,[]
502,0.0,0.0,[]
3549,0.0,0.0,[]
782,0.0,0.0,[]
3468,1.0,1.0,[47]
3568,0.0,0.0,[]
601,0.0,0.0,[]
2335,0.0,0.0,[]
1713,1.0,1.0,[85]
3197,0.0,0.0,[]
2133,0.0,0.0,[]
2295,1.0,1.0,[132]
2228,0.0,0.0,[]
655,2.0,1.0,"[77, 149]"
2742,0.0,0.0,[]
2562,1.0,1.0,[133]
2085,0.0,0.0,[]
3467,0.0,0.0,[]
2077,0.0,0.0,[]
3663,0.0,0.0,[]
1801,3.0,1.0,"[6, 113, 118]"
2087,0.0,0.0,[]
1222,1.0,0.0,[87]
1813,0.0,0.0,[]
3504,5.0,1.0,"[112, 115, 117, 118, 120]"
1410,0.0,0.0,[]
371,1.0,1.0,[18]
1979,0.0,0.0,[]
3714,0.0,0.0,[]
3513,0.0,0.0,[]
2550,1.0,0.0,[84]
714,0.0,0.0,[]
1306,0.0,0.0,[]
1946,1.0,0.0,[77]
66,1.0,1.0,[12]
3651,0.0,0.0,[]
861,0.0,0.0,[]
618,0.0,0.0,[]
2856,0.0,0.0,[]
65,3.0,1.0,"[152, 153, 155]"
2920,0.0,0.0,[]
3035,1.0,1.0,[81]
1909,0.0,0.0,[]
1337,0.0,0.0,[]
631,0.0,0.0,[]
225,1.0,1.0,[107]
1225,0.0,0.0,[]
2476,0.0,0.0,[]
75,0.0,0.0,[]
1466,0.0,0.0,[]
2975,1.0,1.0,[115]
997,1.0,1.0,[129]
800,3.0,1.0,"[32, 33, 34]"
175,0.0,0.0,[]
3731,1.0,1.0,[91]
2971,2.0,1.0,"[26, 28]"
2940,0.0,0.0,[]
2560,1.0,1.0,[115]
2652,0.0,0.0,[]
1566,0.0,0.0,[]
3163,1.0,1.0,[19]
1529,0.0,0.0,[]
2579,0.0,0.0,[]
2234,1.0,1.0,[66]
2187,1.0,1.0,[45]
961,0.0,0.0,[]
3338,1.0,1.0,[72]
607,1.0,1.0,[135]
2728,0.0,0.0,[]
496,0.0,0.0,[]
3204,0.0,0.0,[]
753,0.0,0.0,[]
155,2.0,1.0,"[6, 11]"
1387,2.0,1.0,"[9, 34]"
2633,0.0,0.0,[]
3354,1.0,1.0,[73]
1551,2.0,0.0,"[60, 152]"
3673,0.0,0.0,[]
3033,0.0,0.0,[]
2083,1.0,1.0,[26]
3678,1.0,1.0,[112]
1564,1.0,1.0,[13]
2572,1.0,1.0,[98]
