,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty
11,"[956, 1909, 532, 1280, 491, 494, 1101, 928, 393, 1253, 930, 594, 1503, 817, 1016, 308, 1867, 294, 837, 95, 30, 793, 161, 245, 133, 917, 135, 469, 739, 37, 677, 1678, 748, 280, 256, 900]","[1474, 26, 987, 930, 280, 394, 425, 1341, 848, 1323, 146, 279, 1735, 1267, 2205, 1287, 979, 2385, 1612, 213, 698, 245, 1342, 371, 1240, 1280, 1897, 2477, 1746, 1179, 215, 469, 491, 932, 3484, 793]","[2510, 675, 220, 3292, 310, 1868, 2513, 3754, 2057, 1405, 3096, 3657, 36, 887, 3400, 2731, 211, 2610, 755, 1505, 3329, 1071, 3678, 621, 324, 1058, 3103, 47, 2429, 3005, 1739, 3294, 1527, 1028, 1452, 2484]","[1928, 3191, 1613, 812, 1710, 1335, 2555, 387, 1522, 850, 271, 823, 807, 1717, 771, 2037, 77, 606, 49, 3017, 2697, 2313, 455, 1422, 3296, 3396, 2012, 3713, 3172, 1793, 1898, 1298, 1105, 1908, 1496, 1799]","[3668, 2257, 945, 3330, 107, 738, 2949, 860, 1086, 1280, 1792, 2513, 3145, 505, 1143, 861, 3088, 839, 1268, 1789, 2834, 2070, 822, 2281, 3449, 707, 1096, 1580, 3192, 339, 288, 756, 2156, 298, 2743, 3124]"
12,"[956, 532, 582, 120, 343, 1042, 133, 1222, 608, 280, 1010, 1179, 2022, 1329, 1867, 1275, 920, 185, 1323, 511, 739, 779, 2447, 507, 1035, 294, 1049, 300, 58, 567, 2083, 2385, 9, 383, 817, 1779]","[280, 1341, 2248, 1763, 980, 1045, 417, 3678, 2605, 979, 2196, 782, 497, 394, 2211, 1554, 1287, 371, 821, 1023, 934, 94, 1735, 930, 146, 806, 977, 63, 407, 1006, 213, 247, 1825, 1593, 630, 1296]","[448, 3147, 3023, 477, 310, 878, 355, 2584, 1824, 3383, 2709, 2647, 2591, 3758, 3250, 1093, 762, 2610, 881, 1505, 959, 1071, 1320, 294, 2173, 2691, 2265, 761, 1934, 3005, 1660, 3294, 44, 1028, 1803, 1841]","[355, 2308, 2146, 3031, 1437, 297, 1806, 3234, 3200, 871, 989, 3478, 1932, 1233, 508, 288, 2126, 1790, 1960, 1058, 2451, 2432, 3718, 147, 1824, 707, 1699, 1782, 167, 1762, 2317, 2148, 1837, 822, 1803, 528]","[262, 321, 2273, 1974, 3032, 3414, 3718, 485, 2897, 3408, 2896, 2036, 345, 1074, 705, 317, 29, 1448, 938, 1728, 2361, 1226, 969, 2217, 595, 2070, 2470, 2561, 49, 631, 2957, 336, 2050, 1101, 1853, 1457]"
13,"[1276, 1042, 417, 656, 1102, 2204, 2682, 532, 247, 735, 1010, 469, 533, 1415, 244, 195, 58, 1319, 245, 1663, 1166, 536, 3015, 155, 59, 867, 622, 1987, 85, 789, 1049, 2378, 336, 886, 1107, 1847]","[146, 245, 73, 1045, 58, 1851, 178, 553, 2651, 117, 122, 2141, 469, 821, 491, 1014, 793, 3190, 476, 475, 384, 2672, 2241, 1612, 2415, 3484, 280, 2605, 806, 187, 1221, 1586, 1553, 1248, 930, 2519]","[793, 3147, 1441, 477, 310, 878, 355, 2584, 1824, 814, 662, 2647, 2591, 3758, 3250, 1093, 762, 2610, 881, 1505, 959, 1071, 1320, 2582, 2173, 2691, 2265, 1943, 1934, 3005, 1660, 3294, 44, 1028, 2240, 1841]","[518, 3532, 904, 1143, 1121, 3003, 2523, 636, 1796, 3509, 1301, 595, 1234, 2728, 2186, 2250, 1112, 1093, 3385, 1592, 1882, 1634, 533, 1151, 3463, 3032, 300, 2231, 1124, 1833, 2697, 1500, 2489, 2366, 1442, 1202]","[2597, 1229, 2219, 1044, 3134, 3031, 2285, 3601, 3082, 1256, 2055, 1124, 592, 196, 468, 2146, 2047, 850, 2371, 1795, 2521, 3190, 2397, 439, 3718, 1558, 1047, 149, 2838, 349, 2957, 3644, 29, 822, 1639, 2351]"
14,"[1135, 622, 817, 1269, 536, 2415, 789, 279, 1861, 308, 582, 3192, 3740, 932, 1856, 1042, 244, 390, 520, 1170, 608, 980, 300, 1061, 1023, 26, 31, 917, 457, 1474, 739, 1066, 565, 711, 922, 964]","[2385, 280, 2872, 3014, 245, 417, 475, 325, 117, 1108, 901, 127, 692, 2985, 3009, 218, 453, 1772, 877, 932, 1626, 1313, 2649, 97, 553, 3206, 2280, 3360, 1534, 3330, 1748, 899, 2008, 146, 1113, 3542]","[1069, 3121, 1465, 326, 310, 3735, 559, 1584, 2304, 882, 2423, 3649, 819, 1220, 2481, 3356, 2032, 2610, 2145, 1505, 2817, 1071, 1045, 3647, 2860, 2995, 380, 2050, 2479, 3005, 2602, 3294, 1693, 1028, 1075, 2]","[2461, 3021, 2104, 502, 2710, 3222, 686, 220, 2299, 2605, 2813, 575, 440, 1837, 1611, 2260, 2412, 764, 3051, 376, 1201, 141, 2302, 627, 3575, 2609, 3086, 322, 2544, 2628, 1633, 3144, 9, 1043, 1483, 3057]","[1059, 1237, 2059, 1544, 2236, 707, 2175, 125, 3008, 3408, 2137, 1844, 1043, 1309, 2765, 288, 49, 2097, 2472, 2233, 2920, 1833, 262, 2649, 3700, 1336, 1700, 2193, 1313, 2523, 1790, 1795, 2198, 3434, 3147, 1127]"
15,"[582, 161, 2152, 5, 155, 1699, 244, 185, 1179, 36, 1821, 1341, 280, 1193, 1019, 536, 51, 956, 241, 1924, 533, 953, 437, 1326, 266, 504, 469, 1061, 806, 95, 417, 394, 457, 307, 425, 651]","[245, 932, 390, 2378, 3002, 307, 930, 9, 901, 651, 661, 646, 457, 1539, 491, 185, 1386, 1179, 887, 1483, 280, 301, 1389, 533, 224, 2247, 146, 294, 16, 532, 1329, 553, 1645, 2752, 2385, 184]","[3643, 3554, 925, 1429, 310, 2963, 1402, 1290, 3036, 2886, 1970, 71, 2725, 2522, 3506, 427, 962, 2382, 2323, 1766, 2916, 1071, 1226, 3221, 3427, 2002, 179, 3170, 1898, 1707, 674, 3069, 1577, 1028, 1211, 3111]","[1640, 355, 705, 3545, 212, 1148, 1332, 1309, 1257, 2151, 856, 680, 1507, 582, 1336, 1378, 3296, 2146, 1340, 2224, 924, 1457, 1517, 1871, 532, 3388, 2186, 2834, 439, 1127, 2374, 2332, 2389, 2788, 618, 1894]","[1483, 1716, 2870, 800, 2107, 3482, 3002, 1894, 3071, 181, 1594, 2705, 706, 3192, 1737, 2822, 2355, 2096, 2036, 1928, 2920, 802, 2233, 1757, 1866, 876, 3702, 3589, 1128, 134, 2562, 154, 1576, 407, 815, 1295]"
16,"[520, 343, 5, 582, 632, 853, 651, 308, 394, 244, 977, 185, 1140, 608, 336, 1031, 491, 919, 155, 313, 2442, 280, 96, 195, 1897, 1066, 1016, 1658, 1699, 371, 675, 1063, 307, 920, 2385, 759]","[307, 280, 244, 9, 161, 241, 1539, 155, 1940, 930, 494, 245, 919, 651, 921, 133, 95, 887, 1269, 2039, 120, 759, 1019, 127, 1821, 2097, 146, 917, 82, 185, 661, 257, 1909, 817, 3507, 187]","[1345, 3554, 54, 1429, 310, 2963, 1811, 1594, 3036, 749, 3611, 71, 660, 2522, 1268, 427, 1627, 2382, 2323, 1766, 3734, 1071, 175, 2313, 3427, 2166, 1302, 3228, 3386, 1707, 674, 3069, 2722, 1028, 2200, 3111]","[969, 2378, 1078, 2673, 1201, 2950, 2012, 2137, 400, 618, 104, 1985, 1572, 1229, 1327, 160, 323, 521, 1225, 2989, 1042, 640, 1298, 756, 3216, 218, 3472, 1662, 1028, 1858, 3427, 2924, 3115, 194, 506, 2411]","[1824, 3457, 893, 3396, 2523, 1238, 878, 1205, 1882, 3385, 2812, 3134, 1848, 3673, 328, 2301, 1442, 2747, 2036, 1713, 2834, 2738, 3574, 672, 1457, 1049, 1544, 2991, 697, 1076, 1875, 40, 1706, 1576, 636, 1105]"
17,"[5, 853, 336, 1018, 247, 536, 520, 533, 307, 37, 237, 1938, 759, 553, 494, 917, 28, 1107, 2051, 1652, 2248, 47, 1019, 872, 1449, 653, 1322, 308, 3411, 651, 1276, 1186, 50, 1106, 1861, 1483]","[280, 257, 47, 161, 748, 307, 1850, 1342, 3419, 284, 247, 703, 632, 241, 356, 325, 661, 1269, 930, 266, 532, 2163, 514, 2182, 476, 50, 1323, 68, 146, 494, 1264, 3731, 646, 817, 921, 1341]","[2240, 371, 3616, 3710, 310, 1262, 29, 2473, 289, 922, 2753, 2697, 1757, 3602, 3020, 956, 3518, 1688, 2760, 473, 375, 3167, 3633, 2595, 2449, 2937, 1267, 116, 2899, 178, 1458, 3725, 1662, 1028, 912, 961]","[1048, 3706, 521, 583, 532, 1789, 2649, 1060, 1112, 456, 1444, 1514, 1117, 998, 3290, 1814, 2708, 1716, 3470, 2896, 232, 1042, 1552, 387, 1255, 400, 1309, 348, 2407, 588, 518, 2383, 815, 2070, 3534, 3002]","[2777, 1435, 2440, 139, 1963, 1637, 3689, 1844, 789, 1694, 1683, 2823, 968, 3534, 1853, 891, 1127, 2169, 2159, 3668, 2004, 1757, 302, 2301, 1743, 1819, 2155, 575, 3743, 2557, 1923, 1154, 989, 672, 3359, 2273]"
18,"[5, 336, 1061, 1553, 1326, 1113, 307, 2014, 853, 827, 305, 759, 1064, 536, 3419, 308, 212, 2228, 1186, 1106, 690, 972, 1193, 872, 51, 1016, 300, 2406, 1389, 1275, 1932, 237, 807, 260, 848, 932]","[28, 3179, 244, 1940, 2516, 1081, 2, 50, 325, 661, 675, 9, 632, 457, 1323, 621, 931, 1140, 2228, 3717, 646, 458, 47, 679, 1179, 703, 2944, 2116, 73, 120, 1772, 1326, 1268, 1193, 2149, 494]","[3446, 901, 2594, 310, 1339, 3509, 1098, 1883, 872, 3235, 2353, 2220, 1612, 2943, 2508, 1140, 2492, 983, 3389, 1694, 482, 367, 1792, 1139, 2216, 2764, 574, 2883, 678, 2209, 3692, 11, 2748, 2349, 1820, 151]","[3563, 3096, 1891, 1381, 1069, 3206, 133, 126, 2081, 1247, 181, 414, 1744, 3024, 871, 3458, 2633, 416, 1968, 1256, 1100, 861, 2513, 706, 1437, 160, 2005, 2676, 1127, 1900, 2489, 182, 3065, 295, 1146, 2179]","[2323, 673, 1468, 2476, 3592, 2823, 332, 2465, 2411, 850, 1715, 379, 1657, 3442, 1853, 995, 615, 1095, 3273, 220, 2975, 1974, 2609, 3468, 3081, 1294, 1617, 1127, 752, 2108, 1514, 1445, 1768, 1819, 1432, 1049]"
19,"[5, 307, 212, 491, 1505, 1030, 2305, 688, 731, 3179, 241, 57, 827, 48, 2781, 977, 293, 536, 2182, 742, 51, 336, 47, 1067, 3570, 661, 237, 50, 632, 2516, 484, 932, 608, 305, 146, 2211]","[661, 2228, 184, 930, 3179, 199, 632, 9, 731, 2944, 2182, 1415, 580, 1061, 887, 294, 917, 621, 50, 36, 1269, 1341, 336, 120, 1102, 1135, 308, 244, 247, 280, 2442, 187, 146, 1092, 447, 458]","[1721, 3344, 2253, 310, 1431, 1077, 225, 1375, 3028, 2264, 1861, 3528, 491, 1967, 106, 2222, 473, 1624, 778, 1904, 482, 2869, 2018, 575, 1406, 3161, 1843, 3283, 1072, 860, 3682, 1308, 2748, 2130, 1168, 3341]","[1718, 2279, 870, 364, 3290, 181, 2174, 1800, 3626, 1257, 823, 1321, 2708, 2036, 1868, 357, 2937, 2532, 861, 2329, 148, 532, 2317, 3557, 606, 3425, 49, 1726, 672, 1482, 2996, 1779, 216, 1214, 2126, 533]","[990, 3165, 1976, 1466, 1833, 262, 1495, 1644, 3089, 534, 3573, 1984, 933, 2666, 2063, 3461, 62, 2822, 2389, 1514, 3592, 2383, 3318, 1724, 49, 986, 3544, 3001, 807, 1789, 1248, 1320, 289, 1875, 1490, 3144]"
20,"[491, 280, 731, 212, 394, 536, 307, 247, 146, 917, 1505, 48, 2879, 1322, 336, 26, 2715, 241, 305, 1372, 739, 1171, 679, 293, 742, 494, 553, 1898, 924, 30, 1342, 3014, 3357, 469, 1341, 2241]","[661, 2014, 247, 9, 5, 690, 731, 1323, 476, 1326, 886, 199, 1019, 2923, 241, 917, 453, 930, 155, 209, 1102, 2385, 184, 1193, 561, 16, 679, 146, 553, 748, 50, 458, 163, 1539, 1460, 353]","[1721, 2084, 2253, 310, 1431, 1986, 3201, 1375, 127, 1773, 1861, 2765, 491, 1105, 106, 1858, 473, 1624, 778, 101, 482, 2152, 2065, 575, 409, 1467, 1884, 3270, 1072, 860, 3682, 1725, 2748, 3236, 1168, 3341]","[3202, 3672, 3253, 1188, 871, 430, 150, 1327, 2902, 1613, 2361, 2992, 1864, 3401, 673, 2143, 576, 2895, 1954, 2042, 1294, 1069, 1993, 3012, 1819, 1584, 3099, 1935, 2978, 1445, 668, 1205, 3728, 2155, 1710, 2682]","[317, 1534, 1198, 3484, 1361, 2361, 1633, 498, 1905, 2424, 286, 798, 1154, 592, 1444, 1833, 2037, 1495, 1736, 3259, 1815, 289, 1410, 3093, 1646, 735, 692, 782, 190, 2995, 75, 3603, 2486, 3425, 3633, 410]"
