,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty
53,"[348, 125, 2899, 434, 556, 48, 779, 1116, 113, 2036, 68, 84, 1437, 1046, 957, 265, 734, 1061, 1056, 2779, 1004, 1269, 1469, 601, 223, 521, 2427, 1989, 719, 1341, 525, 2967, 550, 2579, 1122, 714]","[2406, 2752, 348, 3419, 534, 300, 1746, 434, 1112, 291, 2378, 796, 212, 1723, 1244, 156, 84, 941, 1231, 1030, 2604, 75, 2270, 1042, 956, 393, 2085, 520, 3577, 2447, 1483, 1967, 27, 787, 1299, 963]","[332, 3613, 1800, 2752, 2236, 1451, 1406, 1920, 833, 3736, 1699, 2868, 2274, 1635, 1136, 2828, 1179, 1919, 2099, 3737, 2336, 3222, 1854, 1457, 288, 393, 1644, 1872, 1682, 982, 3045, 2031, 852, 1809, 3545, 3341]","[400, 1407, 968, 691, 606, 1294, 1216, 1924, 360, 450, 256, 21, 379, 302, 142, 1558, 1128, 1792, 774, 176, 1354, 430, 738, 477, 159, 140, 1598, 3489, 672, 1716, 1169, 2050, 2103, 1142, 986, 172]","[405, 2641, 138, 509, 1026, 2025, 1216, 3557, 2098, 1154, 3457, 1578, 2233, 3310, 1, 1556, 2788, 3638, 1058, 2700, 1482, 3364, 1678, 3263, 2344, 2321, 689, 1001, 1775, 430, 1177, 542, 2373, 2257, 938, 2678]"
54,"[556, 517, 3461, 84, 2284, 1068, 1014, 577, 125, 584, 348, 549, 451, 906, 706, 1101, 3455, 525, 734, 1347, 779, 240, 1079, 1599, 952, 1269, 1546, 465, 265, 2097, 419, 956, 2448, 687, 190, 1115]","[3170, 525, 2666, 1746, 84, 300, 3419, 2752, 941, 2140, 269, 72, 434, 533, 1122, 1030, 956, 672, 681, 1761, 212, 814, 48, 3577, 998, 156, 103, 708, 2211, 1267, 1351, 543, 340, 819, 125, 2036]","[1965, 2753, 3555, 2752, 166, 480, 159, 1044, 2030, 688, 20, 2225, 1713, 932, 2017, 670, 2681, 3425, 1791, 3521, 995, 124, 2042, 703, 2978, 2316, 41, 1460, 3301, 1753, 3543, 3401, 175, 16, 2365, 2077]","[1048, 458, 159, 1194, 1598, 238, 142, 893, 752, 263, 2582, 1226, 904, 2782, 1715, 140, 799, 1417, 738, 995, 1320, 1864, 45, 1154, 1376, 3569, 1697, 357, 302, 1177, 529, 1086, 498, 1043, 1692, 868]","[142, 2460, 904, 2055, 1026, 1028, 998, 691, 118, 309, 2012, 1800, 1340, 3457, 256, 3539, 3747, 360, 1177, 3388, 114, 405, 3447, 883, 458, 2747, 172, 2867, 2980, 1279, 2214, 1134, 3582, 430, 1522, 159]"
55,"[224, 68, 434, 760, 556, 833, 806, 2966, 3322, 2284, 601, 930, 611, 269, 897, 2281, 54, 151, 2516, 291, 677, 240, 699, 489, 550, 125, 2604, 517, 296, 994, 432, 573, 384, 3337, 1511, 1970]","[2752, 1982, 941, 68, 1112, 556, 1723, 1415, 1231, 1710, 2036, 291, 338, 419, 348, 672, 183, 952, 3724, 1106, 2145, 84, 38, 511, 1080, 1254, 885, 1211, 569, 269, 1319, 533, 814, 739, 1218, 1924]","[1291, 2107, 2517, 2752, 881, 2732, 3593, 3674, 1706, 475, 1202, 923, 3522, 701, 2681, 1710, 2344, 3004, 150, 1211, 3284, 2192, 3539, 1886, 2351, 1756, 3110, 2065, 1362, 3329, 1991, 1767, 1412, 1574, 3514, 1112]","[45, 893, 1252, 400, 263, 376, 458, 1086, 498, 159, 684, 1702, 238, 868, 3642, 2439, 1048, 1201, 302, 21, 3238, 439, 1376, 593, 1194, 1027, 752, 2423, 778, 1354, 1692, 407, 75, 3128, 1568, 799]","[1608, 1002, 681, 3235, 2025, 1369, 773, 1578, 1026, 2067, 968, 1028, 1483, 3457, 1390, 552, 911, 2919, 1314, 1466, 1717, 1556, 840, 3754, 2011, 1208, 197, 45, 597, 532, 2432, 2030, 215, 1739, 615, 216]"
56,"[255, 1761, 517, 223, 269, 535, 1128, 348, 291, 204, 1185, 1934, 203, 1208, 142, 143, 577, 556, 601, 677, 2694, 1070, 1575, 779, 2116, 2278, 3482, 1299, 1869, 1029, 1936, 760, 647, 778, 965, 1558]","[2752, 533, 511, 739, 1503, 1218, 103, 265, 1457, 125, 1231, 256, 318, 719, 1006, 1982, 741, 434, 1723, 46, 1415, 3497, 3579, 362, 84, 1411, 27, 72, 169, 2036, 1726, 68, 3461, 2334, 1980, 2205]","[1096, 1213, 2525, 2752, 431, 2858, 2552, 2009, 2309, 796, 1677, 3448, 2038, 3484, 2344, 15, 2260, 539, 1434, 1130, 2756, 880, 2367, 3350, 233, 618, 1368, 1836, 2910, 220, 1524, 1966, 2152, 2894, 3256, 2282]","[462, 1503, 430, 1700, 1957, 400, 3128, 3573, 379, 868, 1216, 707, 450, 142, 376, 159, 1259, 477, 2678, 1201, 34, 774, 1375, 1058, 3592, 738, 133, 1130, 2045, 1427, 2257, 2071, 1407, 1491, 799, 778]","[2444, 816, 3441, 3457, 1540, 41, 1002, 1390, 2996, 1518, 1650, 216, 938, 1997, 2342, 1906, 2695, 2017, 2025, 962, 2562, 455, 843, 126, 2788, 1444, 1086, 1483, 434, 1445, 1824, 2332, 450, 260, 509, 302]"
57,"[143, 224, 204, 1018, 1869, 434, 348, 577, 963, 169, 151, 517, 240, 1731, 103, 68, 329, 340, 1211, 2835, 291, 957, 269, 1066, 6, 2343, 1030, 1952, 1077, 780, 544, 1735, 942, 281, 941, 255]","[727, 517, 1006, 972, 80, 533, 1231, 941, 68, 2129, 2205, 956, 897, 125, 1520, 1445, 3455, 2579, 1708, 1004, 708, 522, 1666, 998, 1101, 584, 2211, 3261, 2706, 498, 2343, 672, 2400, 1932, 2061, 2404]","[2775, 3631, 1525, 2752, 2420, 952, 2117, 2634, 10, 1025, 1960, 2745, 1900, 2712, 3630, 1779, 3462, 1275, 3551, 2178, 1785, 2530, 2052, 224, 2949, 552, 2554, 1897, 3211, 890, 847, 111, 3366, 476, 3290, 823]","[29, 133, 376, 407, 778, 752, 533, 498, 2747, 142, 800, 774, 3310, 21, 45, 34, 1058, 462, 1201, 995, 868, 986, 1028, 738, 1048, 477, 3255, 1567, 1503, 1330, 2137, 2257, 3644, 1230, 2548, 870]","[1620, 114, 911, 3482, 1375, 2747, 3638, 2342, 3149, 3408, 2996, 692, 927, 2404, 1008, 321, 1800, 1279, 968, 348, 1578, 2045, 2444, 2810, 263, 843, 2562, 1202, 1483, 2666, 689, 44, 2017, 381, 774, 2332]"
58,"[348, 517, 601, 84, 151, 291, 169, 269, 550, 103, 1030, 941, 1629, 573, 2010, 113, 1520, 1619, 3221, 143, 561, 2129, 1080, 1892, 824, 296, 1434, 814, 785, 2758, 68, 204, 1581, 240, 930, 224]","[941, 84, 1006, 821, 3577, 348, 1267, 796, 533, 837, 998, 2334, 291, 779, 1932, 952, 326, 612, 72, 699, 2406, 211, 498, 189, 103, 1605, 956, 2144, 1503, 1119, 1031, 2533, 741, 584, 1101, 2919]","[2485, 439, 3325, 2752, 2760, 2616, 1273, 3457, 3086, 1137, 1356, 2500, 3106, 738, 2496, 237, 1484, 2510, 465, 896, 2241, 391, 2886, 3652, 2243, 846, 612, 274, 3211, 3249, 856, 3508, 2526, 821, 1312, 1944]","[32, 2380, 1177, 1147, 400, 1800, 2871, 263, 774, 2098, 2342, 357, 3270, 1230, 34, 21, 752, 366, 1482, 1354, 1639, 610, 430, 376, 868, 1313, 533, 348, 2283, 1503, 1407, 512, 388, 40, 29, 142]","[2404, 2344, 1402, 3632, 2373, 297, 1143, 532, 883, 3642, 1375, 321, 537, 600, 3329, 2067, 2342, 1154, 1257, 1444, 142, 774, 552, 44, 1086, 2639, 2332, 1608, 263, 2566, 2045, 3457, 1833, 23, 1233, 2597]"
59,"[699, 434, 1313, 525, 269, 1242, 3221, 142, 563, 340, 927, 204, 103, 169, 84, 400, 584, 2440, 97, 1731, 2061, 1133, 765, 281, 1323, 1332, 1218, 113, 1844, 874, 2906, 1232, 197, 1206, 941, 352]","[84, 533, 467, 183, 348, 1267, 1847, 1030, 2029, 941, 1004, 1231, 291, 1244, 858, 1063, 1723, 1659, 3069, 1351, 1415, 340, 80, 1299, 2205, 2383, 2149, 480, 362, 2284, 972, 243, 517, 1775, 3480, 927]","[527, 3468, 2444, 2752, 2105, 3586, 3686, 2990, 1068, 350, 69, 3717, 3431, 480, 2496, 899, 698, 793, 465, 1477, 1327, 3552, 2757, 3456, 2482, 2877, 612, 514, 3211, 649, 2074, 475, 2019, 821, 3077, 2555]","[357, 868, 159, 3052, 29, 3059, 774, 366, 34, 778, 1230, 849, 2401, 21, 815, 1313, 1625, 1279, 1390, 1407, 533, 1002, 404, 376, 1028, 263, 512, 529, 1445, 2684, 1669, 1048, 261, 2098, 2022, 1637]","[3005, 142, 1121, 430, 927, 1143, 1608, 1390, 1317, 1008, 2788, 2562, 1233, 2344, 1833, 1540, 3329, 381, 1917, 126, 1086, 1444, 3457, 386, 276, 1004, 23, 2104, 2565, 3059, 1154, 691, 260, 2283, 133, 419]"
60,"[927, 269, 1018, 404, 941, 248, 434, 143, 142, 521, 68, 1023, 972, 103, 584, 408, 1430, 3203, 1112, 346, 1030, 169, 224, 3625, 194, 699, 1469, 403, 517, 1276, 963, 657, 2252, 1592, 156, 743]","[84, 941, 1596, 556, 348, 952, 681, 765, 410, 434, 2990, 103, 1267, 2406, 1231, 471, 68, 183, 42, 48, 1520, 601, 269, 807, 1347, 1065, 1797, 479, 821, 2602, 211, 1151, 739, 2029, 1483, 467]","[563, 3430, 2319, 2752, 2105, 3343, 3526, 2730, 1269, 3054, 3314, 1394, 3431, 754, 2496, 899, 698, 1292, 465, 699, 1327, 1749, 840, 2254, 2482, 42, 612, 1609, 3211, 1316, 2098, 2339, 92, 821, 2301, 3594]","[40, 610, 695, 1568, 1357, 317, 21, 477, 1168, 1622, 986, 458, 1466, 778, 789, 1625, 360, 328, 1320, 1027, 404, 1279, 1145, 697, 430, 1392, 1216, 512, 1662, 1429, 261, 1495, 1491, 462, 2161, 400]","[681, 1905, 707, 2235, 1004, 260, 45, 1779, 1133, 3638, 1970, 1187, 2863, 114, 23, 3455, 1604, 1048, 129, 2246, 2682, 410, 2343, 142, 994, 2639, 845, 434, 1390, 3525, 1330, 2919, 2332, 962, 3317, 852]"
61,"[68, 347, 1921, 142, 941, 699, 3718, 1238, 346, 1122, 419, 169, 956, 3281, 269, 1080, 449, 1131, 113, 3192, 224, 143, 1906, 2906, 1319, 430, 197, 544, 1982, 789, 2400, 1409, 741, 295, 1030, 2270]","[84, 103, 1296, 125, 291, 941, 739, 507, 556, 434, 2447, 2406, 430, 1708, 1070, 2054, 2335, 1483, 440, 169, 1469, 543, 3526, 874, 1283, 326, 2898, 1972, 2587, 902, 1014, 517, 479, 787, 1582, 1267]","[726, 2240, 1578, 2752, 59, 3068, 910, 3751, 2891, 2034, 1870, 665, 3517, 2732, 3462, 1782, 2783, 3642, 465, 673, 227, 3474, 3028, 3190, 2733, 137, 612, 584, 3211, 2084, 2377, 1058, 1610, 821, 1287, 2584]","[498, 701, 1330, 2666, 1279, 1048, 1354, 1027, 360, 405, 1208, 1429, 1154, 142, 695, 1230, 381, 317, 1572, 849, 1692, 376, 2098, 2849, 1466, 3461, 21, 328, 1238, 357, 470, 1699, 40, 707, 1608, 1407]","[450, 577, 1502, 1187, 2788, 938, 139, 1867, 2695, 2359, 705, 458, 133, 1518, 752, 2451, 1710, 2036, 1943, 1390, 1739, 774, 3055, 2424, 3482, 2461, 126, 129, 410, 3317, 1259, 477, 1330, 2684, 2782, 3179]"
62,"[68, 347, 2255, 941, 487, 1746, 169, 419, 204, 296, 588, 717, 780, 113, 84, 156, 143, 478, 644, 3304, 2256, 197, 1386, 1029, 1161, 410, 97, 1949, 1023, 400, 1066, 17, 1253, 3281, 3605, 1056]","[556, 169, 84, 434, 611, 825, 1469, 1980, 1723, 113, 1411, 3526, 526, 1708, 1347, 1070, 1798, 429, 739, 326, 1116, 68, 1483, 2017, 2406, 2469, 957, 1231, 956, 223, 1318, 1244, 156, 1250, 681, 498]","[300, 1770, 2752, 3424, 2917, 1219, 2169, 1851, 159, 2560, 1633, 1204, 3059, 3462, 3590, 914, 1303, 465, 3588, 2080, 115, 2183, 2569, 3043, 3272, 612, 2923, 3211, 3233, 967, 3525, 424, 821, 1677, 2703, 258]","[1687, 1407, 498, 1354, 3203, 1838, 3350, 849, 309, 778, 2943, 1154, 1622, 674, 2839, 366, 2948, 1027, 1291, 1230, 501, 893, 381, 815, 774, 328, 1644, 405, 2137, 1495, 1491, 1429, 1238, 3725, 533, 1004]","[218, 3223, 2862, 381, 1143, 1779, 2045, 1867, 2863, 1997, 2519, 747, 707, 2834, 129, 1202, 3204, 883, 256, 77, 577, 1943, 1121, 1181, 532, 852, 531, 430, 1584, 1518, 774, 2753, 1568, 2639, 1751, 552]"
63,"[113, 169, 6, 714, 1430, 248, 204, 911, 869, 927, 1447, 68, 535, 1341, 2494, 142, 403, 2446, 143, 2528, 718, 455, 814, 2140, 434, 3497, 1434, 315, 1358, 1860, 296, 1465, 1237, 1414, 1059, 942]","[125, 1723, 291, 84, 556, 1267, 325, 113, 2029, 573, 699, 434, 956, 941, 223, 2898, 837, 2666, 3577, 1554, 601, 143, 884, 1133, 647, 1347, 132, 1781, 1447, 1434, 211, 326, 3010, 1092, 1483, 2400]","[1683, 3183, 2752, 3186, 3251, 2549, 3567, 1225, 1568, 416, 2008, 2298, 3231, 3462, 789, 2135, 1778, 465, 1654, 2701, 1253, 1433, 1145, 3489, 2826, 612, 3404, 3211, 2879, 1315, 404, 2983, 821, 1097, 2089, 1905]","[501, 381, 849, 1027, 1280, 1445, 44, 773, 137, 893, 512, 778, 809, 1407, 2363, 99, 1198, 789, 606, 1004, 1490, 128, 529, 40, 23, 1491, 695, 535, 531, 800, 1230, 1789, 1990, 533, 1662, 1699]","[2764, 3446, 2557, 41, 681, 2579, 23, 220, 1503, 276, 2055, 2038, 773, 381, 1202, 702, 3179, 1824, 2156, 3096, 1187, 2451, 218, 2461, 1179, 1181, 477, 2444, 419, 1620, 1833, 2566, 3455, 692, 126, 680]"
64,"[204, 6, 68, 741, 927, 779, 2975, 183, 2298, 169, 1632, 1087, 535, 1341, 941, 1102, 1645, 1150, 952, 1454, 526, 477, 1061, 780, 543, 211, 3470, 315, 1211, 3441, 1772, 1545, 179, 2054, 2025, 53]","[3577, 1708, 113, 1723, 868, 334, 125, 2898, 1267, 941, 699, 2284, 825, 517, 1666, 1231, 525, 1451, 1459, 291, 739, 1220, 1070, 956, 143, 132, 1250, 914, 48, 1271, 434, 1003, 1080, 1469, 2210, 2034]","[2656, 2198, 2752, 1953, 656, 2338, 2212, 2316, 1748, 2337, 1407, 1528, 717, 3462, 2181, 2135, 465, 3126, 3033, 2601, 1617, 1450, 2795, 1299, 612, 1, 3211, 2641, 1043, 1137, 110, 821, 1960, 1594, 1055, 896]","[21, 1792, 2967, 1280, 322, 533, 430, 1407, 1086, 529, 1990, 3014, 65, 450, 870, 849, 1377, 566, 309, 789, 1027, 809, 1581, 39, 1490, 1715, 3624, 674, 1512, 1390, 2401, 498, 3446, 321, 40, 1564]","[597, 3742, 114, 700, 1390, 1202, 2764, 1932, 489, 845, 816, 1833, 3096, 1358, 300, 133, 3525, 2038, 1280, 440, 1584, 680, 2342, 3670, 774, 2834, 2562, 1086, 41, 3457, 607, 1540, 1483, 681, 3309, 1410]"
65,"[434, 518, 84, 779, 204, 68, 169, 403, 429, 1351, 256, 956, 718, 522, 132, 194, 584, 3507, 197, 274, 1422, 2840, 17, 1672, 2100, 289, 1507, 511, 787, 214, 1271, 487, 526, 151, 2874, 3096]","[941, 3577, 1231, 1723, 956, 3724, 739, 3307, 1080, 125, 143, 584, 3221, 1056, 573, 46, 1220, 434, 779, 727, 2171, 132, 965, 1936, 1980, 611, 2373, 2406, 68, 2942, 3622, 543, 2061, 3038, 569, 1078]","[2979, 2366, 2752, 7, 556, 1581, 2559, 1876, 954, 3711, 1443, 3385, 1608, 2667, 3728, 2128, 465, 2842, 2813, 877, 1722, 3257, 1242, 3203, 612, 3331, 3211, 1270, 1125, 2633, 196, 1775, 2724, 564, 3758, 2864]","[577, 535, 1512, 137, 1226, 40, 789, 870, 512, 2714, 2967, 533, 498, 2091, 1491, 1540, 1662, 1697, 2260, 1002, 1234, 39, 2047, 143, 809, 2432, 1027, 485, 861, 674, 2597, 2098, 3485, 1483, 695, 1112]","[2332, 1608, 430, 2682, 2497, 1540, 1911, 1518, 489, 41, 3543, 1358, 2098, 1564, 2544, 2834, 2747, 1330, 2025, 1584, 3457, 3754, 927, 1028, 1103, 360, 256, 3525, 3638, 1756, 3307, 263, 1202, 139, 131, 2809]"
66,"[2393, 68, 780, 149, 612, 248, 1936, 461, 785, 430, 92, 151, 497, 403, 1798, 584, 3636, 211, 183, 419, 952, 3439, 1004, 2166, 1090, 3320, 2633, 369, 1582, 1145, 2292, 84, 588, 824, 1150, 1284]","[601, 48, 125, 956, 1070, 1708, 1585, 142, 1723, 525, 1030, 2448, 2400, 143, 1131, 719, 461, 169, 522, 699, 1014, 37, 1469, 611, 577, 434, 1313, 739, 880, 727, 511, 2469, 779, 3455, 1042, 2284]","[3719, 3368, 2752, 2504, 417, 2843, 1360, 68, 2378, 1824, 8, 794, 2214, 2135, 226, 1968, 1409, 1687, 1400, 855, 3120, 1841, 2629, 2424, 455, 2702, 3211, 1590, 1611, 1236, 1000, 1866, 69, 3154, 3204, 699]","[1002, 39, 778, 339, 1662, 3668, 597, 3203, 261, 927, 577, 434, 40, 533, 1476, 789, 220, 2444, 450, 684, 3485, 1340, 2025, 1027, 2278, 366, 2336, 1644, 1407, 1226, 2423, 1392, 3574, 1429, 2195, 849]","[1568, 263, 2055, 1137, 1540, 1390, 2810, 3204, 2736, 23, 3256, 2156, 220, 734, 3482, 707, 3525, 1414, 1483, 413, 2332, 3170, 1721, 2519, 3161, 3730, 3052, 533, 2235, 1833, 3147, 958, 1402, 387, 541, 142]"
67,"[68, 248, 1682, 403, 204, 706, 902, 1165, 265, 256, 138, 2051, 97, 355, 1087, 211, 1065, 3485, 941, 392, 84, 1459, 1063, 461, 3073, 179, 2649, 2070, 779, 1430, 1279, 588, 3682, 2145, 1708, 1039]","[741, 1781, 1070, 2444, 11, 113, 1666, 48, 522, 1867, 2442, 3225, 957, 125, 1678, 1119, 2879, 525, 601, 2400, 544, 1435, 1469, 1503, 2163, 97, 3016, 681, 1000, 430, 2171, 1575, 1673, 3337, 904, 1030]","[3297, 3610, 2752, 898, 619, 639, 79, 343, 2172, 1199, 3644, 2362, 3370, 2128, 3718, 2286, 1110, 3685, 1216, 2899, 987, 2715, 1357, 3219, 1809, 1975, 2742, 2163, 1844, 2411, 486, 2144, 1865, 2781, 105, 1684]","[410, 870, 339, 1176, 1001, 934, 789, 1268, 1422, 2240, 1177, 2091, 1662, 501, 695, 2061, 597, 1715, 197, 3533, 261, 2527, 220, 360, 1608, 1737, 434, 1407, 1398, 3638, 2285, 1578, 1154, 1226, 381, 3165]","[1568, 3525, 1752, 23, 263, 3096, 260, 3482, 532, 2067, 458, 1578, 2025, 1961, 1943, 2764, 3728, 413, 2809, 774, 1008, 1445, 107, 2451, 1121, 1314, 707, 552, 347, 276, 3052, 3021, 1133, 660, 1307, 126]"
68,"[68, 1809, 1087, 2337, 169, 647, 347, 2230, 1641, 760, 1002, 137, 2227, 84, 779, 265, 2380, 702, 877, 97, 132, 2139, 601, 539, 3147, 1762, 2663, 1030, 2883, 322, 927, 885, 2324, 211, 1092, 672]","[1781, 1070, 11, 125, 2163, 825, 156, 3740, 577, 1666, 97, 113, 522, 48, 807, 927, 1469, 1253, 2442, 1673, 998, 1299, 1056, 517, 563, 334, 143, 1030, 232, 259, 1231, 430, 1472, 441, 1796, 714]","[871, 1048, 2752, 902, 23, 3217, 3000, 1514, 3660, 845, 906, 2289, 606, 2128, 2747, 3408, 1110, 1109, 2660, 3597, 1892, 1631, 2238, 3039, 1809, 418, 2742, 1673, 488, 159, 2407, 2144, 2560, 225, 1997, 2185]","[410, 695, 2195, 2278, 137, 1112, 861, 1487, 2469, 1177, 2093, 434, 1554, 1422, 1417, 1392, 2036, 1844, 1662, 3518, 131, 501, 1610, 3010, 1703, 357, 778, 2140, 339, 2264, 1706, 3649, 360, 849, 2610, 1358]","[2639, 1562, 1890, 2222, 1699, 3482, 1121, 256, 1567, 3455, 198, 1932, 1903, 3670, 62, 2782, 1961, 360, 1608, 2736, 2902, 3446, 1147, 133, 1905, 1439, 1833, 218, 1751, 2472, 3457, 489, 1314, 3706, 263, 2025]"
69,"[84, 68, 211, 403, 1332, 326, 678, 1267, 569, 263, 518, 3622, 322, 1185, 706, 3619, 401, 1715, 429, 339, 1798, 2210, 647, 289, 397, 3626, 347, 1847, 2008, 2663, 461, 338, 550, 2105, 941, 539]","[434, 1507, 2163, 338, 2400, 739, 3632, 125, 2105, 143, 1666, 1483, 1708, 3740, 1056, 2256, 2416, 1253, 1781, 265, 825, 49, 517, 48, 1469, 2406, 1844, 2546, 156, 142, 1402, 430, 497, 1130, 957, 969]","[2456, 3341, 2752, 2539, 764, 144, 722, 1926, 3686, 1883, 2575, 2773, 2917, 1968, 280, 3504, 2896, 3103, 163, 2779, 825, 3576, 3046, 1010, 16, 1970, 2742, 154, 1972, 686, 798, 145, 654, 3580, 1612, 1654]","[2546, 809, 789, 434, 1703, 597, 707, 2240, 934, 410, 360, 2469, 3015, 197, 1554, 1358, 3533, 584, 2214, 1620, 689, 1610, 1439, 2036, 948, 2140, 306, 505, 1398, 539, 695, 2310, 386, 41, 3573, 263]","[3217, 23, 2025, 1608, 1564, 41, 2222, 2214, 707, 689, 1507, 3005, 1439, 1314, 198, 1449, 998, 1618, 339, 129, 3728, 1133, 532, 1540, 3730, 2067, 1529, 843, 3375, 774, 1043, 3525, 1943, 1932, 2869, 1256]"
70,"[346, 84, 169, 339, 1221, 142, 295, 68, 211, 461, 2137, 2511, 2444, 1220, 3085, 392, 2469, 355, 1318, 3052, 2047, 952, 814, 2451, 1014, 717, 1708, 397, 3076, 2100, 2229, 2211, 2085, 327, 1160, 403]","[2363, 48, 1030, 125, 2758, 113, 518, 754, 2415, 957, 143, 612, 1507, 35, 1554, 653, 1372, 1972, 1231, 719, 1242, 1056, 926, 1999, 3225, 497, 825, 3192, 1029, 1775, 326, 3147, 1980, 1101, 522, 1588]","[495, 216, 2752, 1336, 2977, 2737, 3738, 552, 3591, 1375, 1047, 26, 2599, 3504, 1425, 3358, 2896, 415, 3561, 1881, 1460, 2975, 516, 3320, 3747, 3648, 2742, 2381, 1751, 2221, 3336, 2635, 3711, 542, 491, 2232]","[2025, 789, 218, 306, 1001, 778, 1873, 357, 600, 1002, 566, 216, 695, 3533, 131, 689, 1578, 2628, 3561, 2240, 597, 707, 1026, 2036, 1181, 23, 1751, 1226, 3320, 1439, 809, 1112, 329, 2702, 2351, 559]","[2025, 3670, 552, 734, 1903, 2036, 1247, 1147, 3059, 1402, 689, 2222, 2212, 938, 747, 3728, 1924, 2497, 1618, 1833, 1837, 774, 3457, 998, 1445, 23, 1133, 2869, 1540, 2597, 3096, 1358, 1568, 3005, 1439, 2440]"
71,"[211, 569, 1358, 1220, 403, 497, 2406, 1526, 97, 2404, 2628, 968, 2284, 149, 397, 1225, 2559, 81, 360, 346, 306, 1502, 2100, 584, 614, 156, 1723, 1447, 68, 400, 467, 821, 1210, 1115, 2155, 1221]","[48, 1507, 125, 2149, 143, 785, 1708, 480, 577, 3427, 113, 1389, 2533, 3076, 840, 1987, 1186, 1056, 3238, 1781, 1242, 1438, 223, 699, 1982, 3634, 260, 899, 740, 889, 2044, 498, 2666, 2856, 1466, 927]","[2798, 238, 2752, 362, 2943, 290, 810, 2877, 3003, 2058, 3040, 1415, 340, 3358, 734, 338, 1664, 2268, 2236, 2272, 2328, 2178, 2550, 3321, 3216, 2706, 3665, 471, 765, 1802, 687, 1085, 3384, 2755, 3511, 1119]","[701, 289, 434, 455, 2628, 3408, 789, 1624, 705, 1181, 1556, 689, 778, 695, 2557, 1866, 357, 2862, 2262, 566, 1314, 1197, 449, 1873, 1358, 2327, 1112, 501, 934, 3434, 2577, 321, 2764, 927, 2025, 41]","[962, 226, 537, 1358, 1086, 2679, 2684, 1618, 357, 1625, 198, 3052, 1330, 747, 3457, 707, 2409, 3533, 2497, 3375, 870, 1924, 1584, 1751, 3670, 1943, 2980, 1043, 3170, 1558, 1568, 815, 23, 1439, 3217, 2736]"
72,"[84, 68, 3262, 3208, 497, 156, 657, 281, 92, 785, 1221, 259, 1267, 573, 1242, 941, 522, 1038, 346, 130, 678, 1337, 338, 843, 97, 1269, 1760, 2446, 592, 2602, 1697, 2109, 283, 1007, 1151, 254]","[1271, 2163, 544, 2906, 338, 2378, 825, 2533, 48, 1449, 1056, 2252, 2666, 889, 942, 3507, 113, 1469, 2400, 518, 880, 1511, 142, 183, 169, 49, 957, 1507, 1467, 765, 1016, 3238, 441, 1924, 601, 68]","[3698, 1672, 2752, 1522, 1967, 3016, 1800, 2142, 3215, 1183, 3699, 2650, 1649, 338, 3388, 3193, 3600, 3414, 755, 1424, 2570, 896, 3299, 827, 744, 1808, 1565, 3436, 232, 2117, 1347, 1948, 843, 1240, 1659, 1646]","[765, 789, 2764, 434, 597, 220, 357, 387, 321, 449, 2327, 809, 689, 1358, 1081, 2628, 584, 455, 674, 695, 1226, 1637, 1499, 934, 329, 1439, 735, 3408, 289, 1610, 953, 3024, 2240, 48, 2738, 1234]","[1779, 3055, 322, 962, 2684, 2219, 419, 2051, 1099, 2848, 198, 607, 1540, 1449, 3170, 1314, 3059, 1558, 3567, 3052, 1043, 2679, 1710, 126, 1142, 3096, 3482, 707, 23, 800, 2497, 226, 456, 107, 347, 2206]"
73,"[68, 156, 785, 1080, 2822, 787, 683, 1897, 1179, 403, 97, 259, 429, 306, 1167, 1520, 397, 10, 1707, 3579, 902, 320, 968, 2996, 888, 569, 1190, 1030, 1622, 903, 647, 1216, 1895, 45, 994, 941]","[48, 183, 1190, 1250, 2378, 1952, 68, 142, 1459, 897, 2036, 2888, 884, 2240, 1469, 1283, 957, 1505, 2400, 326, 441, 855, 3740, 1781, 1936, 719, 3225, 1152, 522, 825, 785, 1989, 1122, 2252, 1980, 403]","[2462, 528, 2572, 918, 3318, 2844, 1030, 3419, 517, 80, 1340, 2557, 3400, 1355, 98, 1193, 3303, 2547, 881, 781, 1399, 1477, 2794, 511, 476, 3235, 1615, 758, 3158, 1273, 2350, 3197, 845, 376, 1630, 3423]","[934, 789, 220, 289, 434, 455, 2702, 695, 48, 584, 357, 1081, 449, 2250, 1736, 321, 754, 1004, 1002, 1226, 597, 2195, 1330, 3624, 1931, 559, 2245, 1610, 1154, 707, 1358, 381, 1187, 650, 1844, 1608]","[1392, 870, 1540, 2684, 2869, 2678, 366, 707, 1314, 734, 744, 2497, 126, 1779, 2283, 2968, 1809, 297, 3005, 3728, 800, 2206, 198, 2577, 1990, 695, 2469, 360, 419, 1004, 962, 455, 893, 1584, 2848, 3482]"
